realtime_start,realtime_end,date,value
2025-05-13,2025-05-13,1923-08-01,17.1
2025-05-13,2025-05-13,1923-09-01,17.2
2025-05-13,2025-05-13,1923-10-01,17.3
2025-05-13,2025-05-13,1923-11-01,17.3
2025-05-13,2025-05-13,1923-12-01,17.3
2025-05-13,2025-05-13,1924-01-01,17.3
2025-05-13,2025-05-13,1924-02-01,17.2
2025-05-13,2025-05-13,1924-03-01,17.1
2025-05-13,2025-05-13,1924-04-01,17.0
2025-05-13,2025-05-13,1924-05-01,17.0
2025-05-13,2025-05-13,1924-06-01,17.0
2025-05-13,2025-05-13,1924-07-01,17.1
2025-05-13,2025-05-13,1924-08-01,17.0
2025-05-13,2025-05-13,1924-09-01,17.1
2025-05-13,2025-05-13,1924-10-01,17.2
2025-05-13,2025-05-13,1924-11-01,17.2
2025-05-13,2025-05-13,1924-12-01,17.3
2025-05-13,2025-05-13,1925-01-01,17.3
2025-05-13,2025-05-13,1925-02-01,17.2
2025-05-13,2025-05-13,1925-03-01,17.3
2025-05-13,2025-05-13,1925-04-01,17.2
2025-05-13,2025-05-13,1925-05-01,17.3
2025-05-13,2025-05-13,1925-06-01,17.5
2025-05-13,2025-05-13,1925-07-01,17.7
2025-05-13,2025-05-13,1925-08-01,17.7
2025-05-13,2025-05-13,1925-09-01,17.7
2025-05-13,2025-05-13,1925-10-01,17.7
2025-05-13,2025-05-13,1925-11-01,18.0
2025-05-13,2025-05-13,1925-12-01,17.9
2025-05-13,2025-05-13,1926-01-01,17.9
2025-05-13,2025-05-13,1926-02-01,17.9
2025-05-13,2025-05-13,1926-03-01,17.8
2025-05-13,2025-05-13,1926-04-01,17.9
2025-05-13,2025-05-13,1926-05-01,17.8
2025-05-13,2025-05-13,1926-06-01,17.7
2025-05-13,2025-05-13,1926-07-01,17.5
2025-05-13,2025-05-13,1926-08-01,17.4
2025-05-13,2025-05-13,1926-09-01,17.5
2025-05-13,2025-05-13,1926-10-01,17.6
2025-05-13,2025-05-13,1926-11-01,17.7
2025-05-13,2025-05-13,1926-12-01,17.7
2025-05-13,2025-05-13,1927-01-01,17.5
2025-05-13,2025-05-13,1927-02-01,17.4
2025-05-13,2025-05-13,1927-03-01,17.3
2025-05-13,2025-05-13,1927-04-01,17.3
2025-05-13,2025-05-13,1927-05-01,17.4
2025-05-13,2025-05-13,1927-06-01,17.6
2025-05-13,2025-05-13,1927-07-01,17.3
2025-05-13,2025-05-13,1927-08-01,17.2
2025-05-13,2025-05-13,1927-09-01,17.3
2025-05-13,2025-05-13,1927-10-01,17.4
2025-05-13,2025-05-13,1927-11-01,17.3
2025-05-13,2025-05-13,1927-12-01,17.3
2025-05-13,2025-05-13,1928-01-01,17.3
2025-05-13,2025-05-13,1928-02-01,17.1
2025-05-13,2025-05-13,1928-03-01,17.1
2025-05-13,2025-05-13,1928-04-01,17.1
2025-05-13,2025-05-13,1928-05-01,17.2
2025-05-13,2025-05-13,1928-06-01,17.1
2025-05-13,2025-05-13,1928-07-01,17.1
2025-05-13,2025-05-13,1928-08-01,17.1
2025-05-13,2025-05-13,1928-09-01,17.3
2025-05-13,2025-05-13,1928-10-01,17.2
2025-05-13,2025-05-13,1928-11-01,17.2
2025-05-13,2025-05-13,1928-12-01,17.1
2025-05-13,2025-05-13,1929-01-01,17.1
2025-05-13,2025-05-13,1929-02-01,17.1
2025-05-13,2025-05-13,1929-03-01,17.0
2025-05-13,2025-05-13,1929-04-01,16.9
2025-05-13,2025-05-13,1929-05-01,17.0
2025-05-13,2025-05-13,1929-06-01,17.1
2025-05-13,2025-05-13,1929-07-01,17.3
2025-05-13,2025-05-13,1929-08-01,17.3
2025-05-13,2025-05-13,1929-09-01,17.3
2025-05-13,2025-05-13,1929-10-01,17.3
2025-05-13,2025-05-13,1929-11-01,17.3
2025-05-13,2025-05-13,1929-12-01,17.2
2025-05-13,2025-05-13,1930-01-01,17.1
2025-05-13,2025-05-13,1930-02-01,17.0
2025-05-13,2025-05-13,1930-03-01,16.9
2025-05-13,2025-05-13,1930-04-01,17.0
2025-05-13,2025-05-13,1930-05-01,16.9
2025-05-13,2025-05-13,1930-06-01,16.8
2025-05-13,2025-05-13,1930-07-01,16.6
2025-05-13,2025-05-13,1930-08-01,16.5
2025-05-13,2025-05-13,1930-09-01,16.6
2025-05-13,2025-05-13,1930-10-01,16.5
2025-05-13,2025-05-13,1930-11-01,16.4
2025-05-13,2025-05-13,1930-12-01,16.1
